dCoilTurns,dCoilOuter,dCoilInner,dShieldThickness,dShieldExtra,gCoilInterval,gCoilLength,gShieldThickness,gShieldExtra,mResRx,mResTx,mIndRx,mIndMutNormal,mIndTx,mIndMutMisaligned,eIndMutNormal,eIndMutMisaligned,eNormalK,eResEq,pDimension,pDimensionPenalty,pThickness,pThicknessPenalty,pNormalIndMutPenalty,pMisalignedIndMutPenalty,pNormalKPenalty,pResistancePenalty,目标函数
10,445,225,5.5,13,0.012222222222222221,0.1125,0.0055,0.013,0.01188636565,0.01188611185,82348.1461219194,-16727.3241586045,82343.7883140804,-7151.22133035757,16.7273241586045,7.15122133035757,0.20313470992668015,0.011886238749322596,0.47100000000000003,1.2899182698676424,0.012,1.18,-1.8501379188480335e-36,3.0359293152247806e-13,1.1349193865143294,1.4312375125007528,-5.036075168883029
13,485,215,12,27,0.01125,0.1075,0.012,0.027,0.01612275054,0.01612251028,142976.292230145,-35576.6504122992,142982.319081734,-16571.6019309087,35.576650412299195,16.5716019309087,0.24882377388103374,0.016122630409552453,0.539,0.000001378797821721165,0.0185,1.115,-6.810968524758223e-97,1.65716019309087,1.1486537393663192,1.4265304106560528,-5.347345721911063
11,455,230,8.5,35,0.01125,0.115,0.0085,0.035,0.01335363735,0.01335335442,107918.956289577,-24530.9396758012,107911.96501808,-10853.2632124235,24.5309396758012,10.853263212423501,0.22731626719698056,0.01335349588425067,0.525,0.0001802337846141934,0.015,1.15,1.1901237677902157,1.0851126235815947,1.1463430590564263,1.429607226795277,-6.0013669110081285
14,410,215,20.5,7,0.0075,0.1075,0.0205,0.007,0.01546913812,0.01546891915,153961.025748931,-27818.2698284858,153988.516301624,-11060.5627057244,27.8182698284858,11.0605627057244,0.18066771428912787,0.01546902863461255,0.424,1.7599999999824862,0.027,1.0299532401952365,1.5548956801372465e-7,1.1060288673804066,1.0713500087145222,1.4272566348504305,-6.3945889066126504
12,440,295,9.5,4,0.006590909090909091,0.1475,0.0095,0.004,0.01556791956,0.01556791283,153872.403279643,-27712.4215937572,153875.418599122,-12821.8270806175,27.712421593757202,12.821827080617501,0.18009824684318657,0.015567916194999637,0.448,1.5199999549107974,0.016,1.14,6.452054304483184e-7,1.2821827080610375,1.0677137153222853,1.4271467597833336,-6.437043783282885
13,390,260,16.5,36,0.005416666666666667,0.13,0.0165,0.036,0.01491015193,0.01490983154,174505.134941262,-30017.6357776043,174496.03324596,-11948.3107102434,30.0176357776043,11.948310710243401,0.1720202596669203,0.014909991734139422,0.462,1.3799956467432815,0.023,1.0699999999213234,-6.2855321337908515e-25,1.1948310668948103,1.0014903302878675,1.4278777869620674,-6.0741948308093505
15,450,260,17,2,0.0067857142857142855,0.13,0.017,0.002,0.01880196038,0.01880227462,210211.147412231,-42024.68819986,210180.715571507,-19183.4052279774,42.02468819986,19.1834052279774,0.19993102631291662,0.018802117499343515,0.454,1.459999679984728,0.0235,1.0649999995853936,-2.4278166504160413e-240,1.91834052279774,1.1314317120604038,1.4235532027785072,-6.998325117206772
14,425,220,17.5,11,0.007884615384615386,0.11,0.0175,0.011,0.01596560173,0.01596543123,159826.202601537,-30886.4266248194,159811.864668296,-12736.6137378153,30.8864266248194,12.7366137378153,0.19325874993368272,0.015965516479772398,0.447,1.5299999674796225,0.024,1.059999997815177,-1.7251571989548583e-32,1.2736613737798703,1.12052459348089,1.4267049816891417,-6.4108909142447015
13,450,245,5.5,32,0.008541666666666666,0.1225,0.0055,0.032,0.01597501344,0.015974843,159177.815675521,-34649.8880669236,159175.621671418,-15267.6850886505,34.6498880669236,15.2676850886505,0.21768188436417163,0.015974928219772692,0.514,0.008011725036757318,0.012,1.18,-1.8344953184608882e-81,1.52676850886505,1.1437130327041507,1.4266945242002524,-5.28518779080621
11,425,250,22,25,0.00875,0.125,0.022,0.025,0.0131344887,0.0131340595,116030.505615525,-23117.4999117366,116013.650520148,-9935.4675411153,23.117499911736598,9.935467541115301,0.19925086981467768,0.013134274098246832,0.475,1.2496996103589766,0.028499999999999998,1.008206756311851,1.1727522998855782,0.3418237027214039,1.1305730418553235,1.4298508065575035,-6.3329062176906366
13,480,255,14,34,0.009375,0.1275,0.014,0.034,0.01689829692,0.01689824942,168650.963429068,-41400.3932103598,168653.405288042,-19739.1910954915,41.400393210359795,19.7391910954915,0.24547795434079467,0.01689827316998331,0.548,5.8518284268648516e-8,0.0205,1.0949999999999804,-1.0609106186946597e-223,1.97391910954915,1.148488693022642,1.4256685853666853,-5.643076446456741
14,450,295,20,0,0.005961538461538462,0.1475,0.02,0,0.01839879064,0.01839913918,208214.211955549,-39831.9793814221,208278.674158673,-19080.8401042321,39.831979381422094,19.0808401042321,0.1912732783031721,0.01839896490917468,0.45,1.4999999133337771,0.0265,1.034991125014131,-1.7023443308568069e-184,1.90808401042321,1.1158812250368366,1.424001150100917,-6.982957423908871
14,480,260,22,5,0.008461538461538461,0.13,0.022,0.005,0.01830858705,0.01831372885,187377.624777256,-42768.8959256562,187370.582606465,-20693.8799179716,42.7688959256562,20.6938799179716,0.22825403879471928,0.018311157769521875,0.49,1.062110284767168,0.028499999999999998,1.008206756311851,-6.007998089752871e-261,2.06938799179716,1.1465258590935892,1.4240987135894203,-6.710329605559189
12,425,255,7.5,12,0.007727272727272728,0.1275,0.0075,0.012,0.01442170087,0.01442139317,134773.263838144,-24677.4467502617,134772.359578127,-10456.324455294,24.6774467502617,10.456324455294,0.18310404329800684,0.01442154701917936,0.449,1.5099999374869426,0.013999999999999999,1.16,1.1839455499517169,1.0348409489692947,1.085301840127799,1.428420503312023,-7.402508779847777
12,405,275,15.999999999999998,19,0.005909090909090909,0.1375,0.015999999999999997,0.019,0.01440146526,0.01440127209,152751.191876822,-26003.2215208481,152759.100374379,-10973.560153769,26.0032215208481,10.973560153769,0.17022812120633682,0.014401368674676118,0.443,1.5699999912036093,0.022499999999999996,1.0749999999850703,1.0119260068083433,1.0972911214822552,0.9836635450073135,1.4284429236948042,-7.166323588181397
11,485,295,22,3,0.0095,0.1475,0.022,0.003,0.01517007434,0.01516980459,129661.763964214,-28949.9589848224,129666.154562262,-14628.7121462799,28.9499589848224,14.6287121462799,0.22326912700697887,0.015169939464400418,0.491,1.0383057982364525,0.028499999999999998,1.008206756311851,2.58158215655604e-15,1.46287121462799,1.1454223922101834,1.4275889561506663,-6.082395117537146
11,435,275,14,12,0.008,0.1375,0.014,0.012,0.01380280726,0.01380261261,123871.900059253,-23526.3975434388,123892.341829057,-10542.6271164661,23.5263975434388,10.542627116466099,0.18990954823995246,0.013802709934656874,0.459,1.4099983637084434,0.0205,1.0949999999999804,1.1921319393903218,1.0496448305414492,1.1121827896604688,1.4291081000726034,-7.288066023373268
